ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"23455","BIRCHMOUNT RD","","BAY MILLS BLVD","SHEPPARD AVE E","Scarborough","Major Arterial","43.78252","-79.29888","2015-06-16 09:00","2015-11-14 16:00","Daily","The southbound and northbound curb lanes will be alternately occupied due to the THESL underground installation.","Planned"
"24267","EGLINTON AVE E","","HOLLY ST","TAUNTON RD","Toronto and East York","Major Arterial","43.707057","-79.396676","2015-07-07 00:01","2015-10-07 23:59","Continuous","Alternating eastbound and westbound lanes will be occupied due to traffic setup for station headwalls and extraction shaft.","Planned"
"24299","ROSE PARK DR","","MOUNT PLEASANT RD","HUDSON DR","North York","Local","43.691345","-79.38369","2015-07-08 07:00","2015-10-20 19:00","Continuous","The eastbound and westbound lanes will be occupied due to thesl underground installation.","Planned"
"24372","FULWELL CRES","","OLLERTON RD","OLLERTON RD","North York","Local","43.751076","-79.502753","2015-07-10 07:00","2015-10-30 19:00","Daily","The lane will be occupied due to road construction.","Planned"
"24469","HUMBERCREST BLVD","BABY POINT CRES","ST MARKS RD","BLOOR ST W","Etobicoke York","Collector","43.657531","-79.492568","2015-07-15 07:00","2015-10-15 19:00","Daily","The northbound and southbound right lanes will be occupied due to hydro pole replacement program.","Planned"
"24484","GARY DR","LANGSIDE AVE","","","Etobicoke York","Collector","43.711189","-79.518429","2015-07-15 00:01","2015-10-15 23:59","Continuous","The northbound lane will be occupied due to hydro pole rebuild.","Planned"
"24607","ASHTON AVE","MONTANA AVE","","","Etobicoke York","Local","43.72078","-79.50086","2015-07-20 07:00","2015-12-15 19:00","Daily","Westbound lane will be occupied due to watermain and water service replacement.","Planned"
"24620","KEELEGATE DR","","KEELE ST","CUFFLEY CRES S","North York","Collector","43.73323","-79.48297","2015-07-20 07:00","2015-12-15 19:00","Daily","Eastbound lane will be occupied due to watermain and water service replacement.","Planned"
"24621","DERRYDOWN RD","","CATFORD RD","GRANDRAVINE DR","North York","Local","43.758635","-79.492796","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound and southbound lanes will be occupied due to watermain and water service replacement.","Planned"
"24627","CUFFLEY CRES N","KEELEGATE DR","","","North York","Local","43.73333","-79.48239","2015-07-20 07:00","2015-12-15 19:00","Daily","The westbound and southbound lanes will be occupied due to water main and water service replacement by Rabcon Contractors Ltd. (Schedule: Mon-Fri 7a-7p; Sat 9a-6p)","Planned"
"24628","MONTANA AVE","","WILSON AVE","DOWNSVIEW AVE","North York","Local","43.720856","-79.50142","2015-07-17 07:00","2015-12-15 19:00","Daily","One northbound and southbound lane will be occupied due to watermain and water service replacement. Traffic will be maintained in both directions.","Planned"
"24629","CUFFLEY CRES S","KEELEGATE DR","","","North York","Local","43.73398","-79.47946","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound, southbound, and eastbound lanes will be occupied due to water main and water service replacement by Rabcon Contractors Ltd. (Schedule: Mon-Fri 7a-7p; Sat 9a-6p)","Planned"
"24630","OLLERTON RD","","KEEGAN CRES","GRANDRAVINE DR","North York","Local","43.751521","-79.503061","2015-07-20 07:00","2015-12-15 19:00","Daily","One northbound and southbound lane will be occupied due to watermain and water service replacement. Traffic will be maintained in both directions.","Planned"
"24638","DOVEHOUSE AVE","","SENTINEL RD","KEELE ST","North York","Local","43.748615","-79.493237","2015-07-20 07:00","2015-12-15 19:00","Daily","The westbound lane will be occupied due to watermain and water service replacement.","Planned"
"24677","FARNINGHAM CRES","","ASHFORD DR","LLOYD MANOR RD","Etobicoke York","Local","43.67033","-79.55194","2015-07-20 07:00","2015-11-30 19:00","Daily","All lanes (alternating) are occupied due to construction","Planned"
"24734","RUTH AVE","459 & 488 RUTH AVE","","","North York","Local","43.793833","-79.395474","2015-07-22 07:00","2015-12-17 19:00","Daily","The westbound curb lane will be occupied due to underground installation by Toronto Hydro-Electric Systems Limited.","Planned"
"24738","EGLINTON AVE W","","AVENUE RD","","Toronto and East York","Major Arterial","43.70463","-79.408485","2015-07-23 07:00","2015-10-31 17:00","Continuous","All eastbound and westbound lanes will be occupied due to tunnel boring machine relocation for the Eglinton Crosstown LRT.","Planned"
