ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"26588","FINCH AVE E","","DON MILLS RD","SENECA HILL DR","North York","Major Arterial","43.793663","-79.350395","2015-09-28 07:00","2016-06-30 19:00","Daily","The eastbound curb lane and westbound curb lane will be occupied due to new watermain installation. This will be conducted by Kenco Construction Ltd.","Planned"
"26593","MCCOWAN RD","","COLONIAL AVE","COLONIAL AVE","Scarborough","Local","43.733165","-79.235861","2015-09-28 07:00","2016-06-30 19:00","Daily","One northbound and southbound lane will be occupied due to water main installation by Kenco Construction Ltd.","Planned"
"26626","MARKHAM RD","","NUGGET AVE","FINCH AVE E","Scarborough","Major Arterial","43.79854","-79.24104","2015-09-18 00:01","2015-11-15 23:59","Continuous","Northbound and Southbound 1 lane will be occupied due to Markham Rd bridge rehabilitation.","Planned"
"26629","COXWELL AVE","698 COXWELL AVE","","","Toronto and East York","Minor Arterial","43.68355","-79.32371","2015-09-17 09:00","2015-10-20 16:00","Continuous","Southbound curb lane will be occupied due to thesl underground installation.","Planned"
"26636","BIRCHMOUNT RD","","ELLESMERE RD","LAWRENCE AVE E","Scarborough","Major Arterial","43.763293","-79.291325","2015-06-11 07:00","2015-11-01 19:00","Daily","The northbound curb lane and southbound curb lane will be occupied due to road resurfacing and concrete curb replacement.","Planned"
"26663","MORNINGSIDE AVE","","GARDENTREE ST","CUMBER AVE","Scarborough","Major Arterial","43.760076","-79.182855","2015-09-18 07:00","2015-10-16 19:00","Daily","The northbound and southbound curb lanes will be occupied due to geotechnical borehole investigation.","Planned"
"26699","YORK MILLS RD","","LESLIE ST","UPJOHN RD","North York","Major Arterial","43.75397","-79.35545","2015-09-17 00:01","2015-12-15 23:59","Continuous","One lane eastbound and westbound will be occupied due to bridge rehabilitation over Go Transit/Metrolinx by SNC Lavalin.","Planned"
"26707","PARK LAWN RD","LAKE SHORE BLVD W","","","Etobicoke York","Major Arterial","43.622989","-79.481234","2015-09-21 09:00","2015-10-31 18:00","Continuous","One northbound lane and two southbound lanes will be occupied due to gas main relocation and sanitary sewer replacement.","Planned"
"26709","RIVERVIEW DR","SNOWDON AVE","","","North York","Local","43.732307","-79.390113","2015-10-01 00:01","2015-12-31 23:59","Continuous","Eastbound and westbound lanes will be occupied due to road reconstruction.","Planned"
"26732","DUNDAS ST W","RONCESVALLES AVE","","","Toronto and East York","Major Arterial","43.653744","-79.451776","2015-09-21 07:30","2015-12-31 17:00","Continuous","The eastbound curb lane will be occupied due to streetscape improvements.","Planned"
"26777","BATHURST ST","","LAURELCREST AVE","ALMORE AVE","North York","Major Arterial","43.744203","-79.435693","2015-09-23 09:30","2015-10-07 15:30","Daily","The northbound lane will be occupied due to directional drilling and hydro vac.","Planned"
"26800","MCCOWAN RD","CHANNEL NINE CRT","","","Scarborough","Major Arterial","43.785411","-79.256441","2015-09-22 07:00","2015-10-06 19:00","Daily","Southbound curb lane will be occupied due to borehole drilling for Toronto Transit Commission.","Planned"
"26811","CHANNEL NINE CRT","","","","Scarborough","Collector","43.784028","-79.256295","2015-09-22 07:00","2015-10-09 19:00","Weekdays","The northbound lane will be occupied due borehole drilling. This will be conducted by Golder Associates.","Planned"
"26814","FALSTAFF AVE","","CULFORD RD","AMBER CRES","Etobicoke York","Collector","43.718124","-79.491784","2015-09-21 07:00","2015-12-31 19:00","Daily","The eastbound and westbound lanes will be occupied due to basement flooding protection project for city of Toronto.","Planned"
"26834","KING ST W","JOHN ST","","","Toronto and East York","Major Arterial","43.64657","-79.38973","2015-09-21 07:00","2015-12-21 23:00","Daily","Eastbound and then westbound curb lanes will be blocked due to Toronto Hydro work.","Planned"
"26844","DUNDAS ST W","","THE EAST MALL","AUKLAND RD","Etobicoke York","Minor Arterial","43.628017","-79.558952","2015-09-21 06:00","2015-11-20 23:00","Daily","The eastbound and westbound lanes will be occupied due to major road resurfacing; partially sidewalk and curb replacement.","Planned"
"26845","WOODFIELD RD","","QUEEN ST E","DUNDAS ST E","Toronto and East York","Collector","43.665386","-79.32122","2015-09-21 07:00","2015-12-21 19:00","Daily","The southbound curb lane will be occupied due to water main replacement.","Planned"
"26860","HOSKIN AVE","","ST GEORGE ST","QUEENS PARK CRES W","Toronto and East York","Minor Arterial","43.66457","-79.396059","2015-09-22 07:00","2015-10-09 17:00","Weekdays","The eastbound curb lane will be occupied due to utility cuts. This will be conducted by Ferpac Paving Inc.","Planned"
"26869","SCOTT ST","","COLBORNE ST","WELLINGTON ST E","Toronto and East York","Collector","43.648467","-79.376197","2015-10-01 07:00","2015-10-31 19:00","Weekdays","The southbound lane will be closed due to the storing of materials. This will be conducted by Bird Construction Group.","Planned"
"26901","MARKHAM RD","","SHEPPARD AVE E","STEELES AVE E","Scarborough","Major Arterial","43.794038","-79.238764","2015-09-24 09:00","2015-10-26 06:00","Continuous","The northbound and southbound lanes will be occupied interchangeably due to road repairs, milling and paving catch basins.","Planned"
"26908","FAIRWOOD CRES","OLD KINGSTON RD","","","Scarborough","Collector","43.773953","-79.184038","2015-09-14 07:00","2015-11-30 19:00","Continuous","1 northbound and 1 southbound lane will be occupied due to road reconstruction and swale rehabilitation.","Planned"
"26911","CLUBHOUSE CRT","","","","North York","Local","43.743922","-79.499731","2015-09-23 07:00","2015-10-30 19:00","Daily","The southbound curb lane will be occupied due to undeground rehabilitation.","Planned"
"26912","DORVAL RD","BLOOR ST W","","","Toronto and East York","Collector","43.656182","-79.454395","2015-09-28 07:00","2015-10-06 19:00","Daily","The southbound curb lane will be occupied due to pit digging, conduit repairing, and placing cable.","Planned"
"26918","PLACER CRT","MCNICOLL AVE","","","North York","Collector","43.803021","-79.341708","2015-09-28 07:00","2015-11-30 16:00","Daily","The cul de sac will be occupied due to THESL underground installation.","Planned"
"26923","WEST POINT AVE","ROUGE HILLS DR","","","Scarborough","Local","43.792392","-79.124987","2015-09-14 07:00","2015-11-30 19:00","Daily","1 eastbound and 1 westbound lane will be occupied due to road reconstruction and swale rehab.","Planned"
"26933","THE QUEENSWAY","","THE WEST MALL","SHERWAY DR","Etobicoke York","Major Arterial","43.610731","-79.561369","2015-10-02 07:00","2015-10-06 15:00","Daily","The westbound left lane will be occupied due to adjustment to maintenance chambers.","Planned"
"26948","HARBORD ST","","ST GEORGE ST","BATHURST ST","Toronto and East York","Collector","43.662667","-79.404078","2015-09-24 07:00","2015-10-09 17:00","Daily","Eastbound and westbound bike lanes will be occupied due to utility cut repairs.","Planned"
"26960","GILDER DR","MIDLAND AVE","","","Scarborough","Local","43.736718","-79.255687","2015-09-30 07:00","2015-10-05 19:00","Weekdays","The eastbound curb lane will be occupied due to the place alp and pull cable work. This will be conducted by Aecon Utilities.","Planned"
"26974","ROEHAMPTON AVE","","REDPATH AVE","MOUNT PLEASANT RD","North York","Local","43.709103","-79.393276","2015-09-24 09:00","2015-10-10 16:00","Daily","The eastbound lane will be occupied due to directional drilling and hydrovac.","Planned"
"26978","MARCIA AVE","CALEDONIA RD","","","North York","Local","43.710496","-79.466308","2015-09-30 06:00","2016-10-02 18:00","Daily","The eastbound curb lane and westbound curb lane will be occupied due to CCTV and cleaning of sewer pipe.","Planned"
"27021","BOOTH AVE","","EASTERN AVE","LAKE SHORE BLVD E","Toronto and East York","Local","43.65578","-79.3417","2015-09-23 07:00","2015-12-31 19:00","Daily","The southbound curb lane will be occupied due to watermain rehabilitation by Ferpal Infrastructure.","Planned"
"27032","BRENYON WAY","","WICKSON TRL","JOHN TABOR TRL","Scarborough","Collector","43.805537","-79.211549","2015-09-30 07:00","2015-10-05 19:00","Daily","The eastbound curb lane will be occupied due to cable pulling.","Planned"
"27033","PETROLIA RD","","LIMESTONE CRES","STEELES AVE W","North York","Local","43.780015","-79.489006","2015-09-28 09:00","2015-10-06 16:00","Daily","The northbound curb lane will be occupied due to pit,conduit installation and cable placing.","Planned"
"27036","ST CLAIR AVE W","","PINEWOOD AVE","WYCHWOOD AVE","Toronto and East York","Major Arterial","43.682035","-79.424557","2015-09-28 09:00","2015-10-09 16:00","Daily","The eastbound curb lane will be occupied due to dig pit, repair conduit and cable placing.","Planned"
"27040","MORNINGSIDE AVE","","KINGSTON RD","LAWRENCE AVE E","Scarborough","Major Arterial","43.770866","-79.187104","2015-09-28 09:00","2015-10-03 16:00","Daily","The eastbound and westbound curb lanes will be occupied due to road and construction work.","Planned"
"27048","ORDE ST","UNIVERSITY AVE","","","Toronto and East York","Local","43.65865","-79.39032","2015-09-28 08:00","2015-10-07 17:00","Continuous","Eastbound curb lane will be occupied due to fiber optic installation.","Planned"
"27049","SIMCOE ST","QUEEN ST W","","","Toronto and East York","Minor Arterial","43.65064","-79.38742","2015-09-30 08:00","2015-10-06 17:00","Continuous","Northbound curb lane will be occupied due to fibre optic installation.","Planned"
"27071","THE WEST MALL","SHERWAY GARDENS RD","","","Etobicoke York","Minor Arterial","43.609579","-79.560373","2015-09-29 07:00","2015-10-03 19:00","Daily","One eastbound and westbound lane will be occupied due to sewer service installation.","Planned"
"27083","WARDEN AVE","DANFORTH AVE","","","Scarborough","Major Arterial","43.694417","-79.273631","2015-09-30 09:00","2015-10-03 16:00","Daily","The northbound right lane will be occupied due to duct installation.","Planned"
"27098","ADELAIDE ST W","507 ADELAIDE ST W","","","Toronto and East York","Major Arterial","43.645476","-79.401674","2015-09-28 07:00","2015-10-05 19:00","Daily","The eastbound curb lane will be occupied due to emergency sewer repair.","Planned"
"27111","LAWRENCE AVE E","RAILSIDE RD","","","North York","Major Arterial","43.740631","-79.324573","2015-09-14 09:30","2015-10-09 15:30","Daily","The eastbound curb lane will be occupied due to drilling boreholes.","Planned"
"27112","QUEEN ST W","","PORTLAND ST","RYERSON AVE","Toronto and East York","Major Arterial","43.647734","-79.401405","2015-09-28 07:00","2015-10-28 19:00","Daily","The eastbound lane will be occupied due to full length trenchless by City of Toronto.","Planned"
"27113","METEOR DR","CARLINGVIEW DR","","","Etobicoke York","Local","43.680799","-79.592847","2015-09-23 07:00","2015-10-08 19:00","Daily","The eastbound curb lane will be occupied due to pit, conduit installation and cable placement.","Planned"
"27117","BAYVIEW AVE","","ROSEDALE VALLEY RD","RIVER ST","Toronto and East York","Major Arterial","43.669806","-79.359585","2015-09-28 09:30","2015-10-09 15:30","Daily","The southbound right lane will be occupied due to borehole drilling.","Planned"
"27125","PARK LAWN RD","","LEGION RD N","LAKE SHORE BLVD W","Etobicoke York","Major Arterial","43.623087","-79.4813","2015-09-28 00:01","2015-11-15 23:59","Continuous","The northbound and southbound lanes will be occupied due to road widening, resurfacing and sanitary sewer replacement.","Planned"
"27126","WILSON AVE","","CLAYSON RD","JETHRO RD","Etobicoke York","Major Arterial","43.717745","-79.523052","2015-09-30 20:00","2015-10-03 05:00","Daily","The eastbound lane will be occupied due to bridge reconstruction.","Planned"
"27127","MCCOWAN RD","LAWRENCE AVE E","","","Scarborough","Major Arterial","43.755516","-79.245469","2015-09-28 07:00","2015-10-07 19:00","Daily","The southbound lane will be occupied due to borehole drilling and sample collection.","Planned"
"27141","THE QUEENSWAY","","THE WEST MALL","NORTH QUEEN ST","Etobicoke York","Major Arterial","43.613683","-79.560504","2015-10-02 09:00","2015-10-06 16:00","Weekdays","The westbound left lane will be occupied due to adjustment for maintenance chambers.","Planned"
"27149","WESTON RD","WILBY CRES","","","Etobicoke York","Major Arterial","43.698641","-79.511996","2015-09-29 11:50","2015-10-10 14:50","Daily","Eastbound and westbound curb lanes will be occupied due to directional drilling.","Planned"
"27150","YONGE ST","248 Yonge St","SHUTER ST","DUNDAS SQ","Toronto and East York","Major Arterial","43.65481","-79.38024","2015-09-27 23:00","2015-10-14 05:00","Daily","Two northbound lanes will be occupied due to hoisting with a 40 ton boom truck by P. Lombardi Developments Inc.

Time period:
Sept. 27  30; 11p  5a
Oct. 4  8; 11p  5a
Oct. 11  14; 11p  5a","Planned"
"27151","LAWRENCE AVE E","RAILSIDE RD","","","North York","Major Arterial","43.74075","-79.32458","2015-09-28 09:30","2015-10-09 15:30","Weekdays","Two eastbound right lanes will be occupied due to borehole drilling by Exp Energy Services Ltd. (Time period: Sept. 14, 28 - 29, and Oct. 9; 9:30a - 3:30p)","Planned"
"27158","ELLESMERE RD","","MEADOWVALE RD","ZAPH AVE","Scarborough","Minor Arterial","43.79246","-79.16366","2015-09-30 09:00","2015-10-16 16:00","Daily","The eastbound and westbound curb lanes will be occupied for repairs to utility cuts - mainly concrete sidewalk work.","Planned"
"27159","ZIRCON CRT","MCNICOLL AVE","","","Scarborough","Local","43.802674","-79.364024","2015-09-29 07:00","2015-11-30 19:00","Daily","Eastbound and westbound lanes will be blocked due to Toronto Hydro work.","Planned"
"27161","YONGE ST","WOODLAWN AVE W","","","North York","Major Arterial","43.683938","-79.392398","2015-09-29 09:30","2015-10-15 15:30","Daily","Various lanes will be blocked due to trench work.","Planned"
"27162","WESTON RD","WILBY CRES","","","Etobicoke York","Major Arterial","43.698395","-79.511277","2015-09-29 09:00","2015-10-10 16:00","Daily","Eastbound and westbound curb lanes will be blocked due to drilling and trenching work.","Planned"
"27164","FRANCINE DR","ZIRCON CRT","","","North York","Local","43.80512","-79.3649","2015-09-29 07:00","2015-11-30 19:00","Daily","The northbound and southbound curb lanes will be occupied for THESL underground installation.","Planned"
"27165","MCNICOLL AVE","","ZIRCON CRT","BEDLE AVE","North York","Major Arterial","43.802647","-79.364083","2015-09-29 09:00","2015-11-30 16:00","Daily","The northbound and southbound lanes will be occupied (alternating) due to THESL underground installation.","Planned"
"27167","ST CLAIR AVE W","","AVENUE RD","POPLAR PLAINS CRES","Toronto and East York","Major Arterial","43.686613","-79.401546","2015-10-01 09:30","2015-10-09 15:30","Daily","The eastbound curb lane will be occupied due to pit and conduit repairs.","Planned"
"27171","GOODYEAR CRES","","CLANSMAN BLVD","BELLEMEADE LANE","North York","Local","43.802396","-79.361886","2015-09-29 07:00","2015-11-30 19:00","Daily","The southbound curb lane will be occupied due to underground work.","Planned"
"27172","KINGSTON RD","","MCCOWAN RD","DORSET RD","Scarborough","Major Arterial","43.725184","-79.232487","2015-09-29 09:00","2015-10-15 18:00","Daily","The westbound curb lane and passing lane will be occupied due to utility cut repairs, sidewalk and road work.","Planned"
"27173","KINGSTON RD","","FAIRWOOD CRES","AMIENS RD","Scarborough","Major Arterial","43.773811","-79.183802","2015-09-30 09:00","2015-10-16 16:00","Daily","The westbound passing lane will be occupied due to repairs to utility cut and concrete sidewalk work.","Planned"
"27175","EAST AVE","BARONIAL CRT","","","Scarborough","Collector","43.786375","-79.133978","2015-10-01 07:00","2015-12-01 17:00","Daily","The southbound curb lane will be occupied due to rehabilitation of existing sewers.","Planned"
"27176","GIDEON CRT","BRAHMS AVE","","","North York","Local","43.796994","-79.360162","2015-09-29 07:00","2015-11-30 19:00","Daily","The eastbound and westbound Cul De Sac will be occupied due to underground installation.","Planned"
"27180","BRAHMS AVE","","MCNICOLL AVE","GIDEON CRT","Scarborough","Local","43.79959","-79.360081","2015-09-29 07:00","2015-10-30 19:00","Daily","The northbound and southbound lanes will be occupied alternately due to underground installation.","Planned"
"27181","DANFORTH AVE","BIRCHMOUNT RD","","","Scarborough","Major Arterial","43.697052","-79.263996","2015-09-29 09:00","2015-10-29 16:00","Daily","The eastbound and westbound lanes will be occupied alternately due to underground installation.","Planned"
"27182","SIMCOE ST","DUNDAS ST W","","","Toronto and East York","Minor Arterial","43.654686","-79.389213","2015-09-30 21:11","2015-10-07 00:11","Daily","The northbound curb lane will be occupied due to Hydro work.","Planned"
"27184","PORT UNION RD","","HWY 401","LAWSON RD","Scarborough","Major Arterial","43.789689","-79.14097","2015-09-30 09:00","2015-10-16 16:00","Daily","The northbound and southbound centre lanes will be occupied due to repairs to utility cut and sidewalk work.","Planned"
"27189","MILITARY TRL","The University of T Scarborough Campus","OLD KINGSTON RD","","Scarborough","Minor Arterial","43.781892","-79.172967","2015-09-30 09:00","2015-10-16 16:00","Daily","The eastbound and westbound curb lanes will be occupied due to repairs to utility cuts.","Planned"
"27194","BAYVIEW AVE","GERRARD ST E","","","Toronto and East York","Major Arterial","43.665483","-79.352617","2015-09-29 07:00","2015-10-05 19:00","Daily","The southbound lane will be occupied due to boreholes.","Planned"
"27195","GLAMORGAN AVE","PROGRESS AVE","DUNDALK DR","WILLIAM KITCHEN RD","Scarborough","Collector","43.769363","-79.282748","2015-09-30 09:00","2015-10-16 17:00","Daily","The eastbound curb lane will be occupied due to fiber optic placement.","Planned"
"27197","HIGHLAND CRES","","BEECHWOOD AVE","CEDARWOOD AVE","North York","Local","43.744517","-79.39602","2015-10-01 02:46","2015-12-01 05:46","Continuous","The northbound lane will be occupied due to full length trenchless rehabilitation.","Planned"
"27199","BAYLAWN DR","from Boarhill Dr to E Highland Creek","BOARHILL DR","","Scarborough","Local","43.80024","-79.2882","2015-10-01 07:00","2015-12-01 17:00","Daily","The southbound lane will be occupied due to full length trenchless rehabilitation of existing gravity sewers by Capital Sewer Services Inc.","Planned"
"27211","DUFFERIN ST","","JANE OSLER BLVD","WILSON AVE","North York","Major Arterial","43.732055","-79.459054","2015-09-30 09:00","2015-10-05 16:00","Daily","All lanes will be occupied (alternating single lanes) due to corehole drilling in the pavement.","Planned"
"27215","QUEEN ST W","460 Queen St W","","","Toronto and East York","Major Arterial","43.648087","-79.399557","2015-10-01 09:00","2015-10-12 16:00","Daily","The westbound curb lane will be occupied due to placing new conduit and fibre optic cable.","Planned"
"27216","GLAMORGAN AVE","","DUNDALK DR","WILLIAM KITCHEN RD","Scarborough","Collector","43.769497","-79.282","2015-09-30 09:00","2015-10-16 16:00","Daily","The eastbound curb lane will be occupied due to fibre optic placement.","Planned"
"27217","MCCOWAN RD","PITFIELD RD","","","Scarborough","Major Arterial","43.787362","-79.257318","2015-10-01 09:00","2015-10-16 16:00","Daily","The southbound curb lane will be occupied due to borehole drilling for the Toronto Transit Commission.","Planned"
"27218","BEECHGROVE DR","51 Beechgrove Dr","","","Toronto and East York","Collector","43.696297","-79.354438","2015-10-01 00:01","2015-10-03 23:59","Continuous","The eastbound lanes will be occupied due to concrete pumping for construction inside Highland Creek WTP.","Planned"
"27230","MILL RD","","STONEHAM RD","BURNHAMILL PL","Etobicoke York","Collector","43.641248","-79.585755","2015-09-30 00:01","2015-10-02 23:59","Weekdays","The northbound curb lane will be occupied due to water service repair.","Planned"
"27234","ELLESMERE RD","MORNELLE CRT","","","Scarborough","Major Arterial","43.784815","-79.19548","2015-10-01 07:00","2015-12-01 17:00","Daily","The southbound right lane will be occupied due to full length trenchless rehabilitation of existing sewers.","Planned"
"27239","SPADINA RD","","DAVENPORT RD","MACPHERSON AVE","Toronto and East York","Minor Arterial","43.67745","-79.408139","2015-10-01 00:01","2015-12-24 23:59","Daily","The southbound right lane will be occupied due to full length trenchless rehabilitation of existing water mains.","Planned"
"27241","SHEPPARD AVE E","BROWNSPRING RD","","","Scarborough","Major Arterial","43.788837","-79.262504","2015-10-01 09:00","2015-11-01 16:00","Daily","The eastbound curb lane will be occupied due to underground installation.","Planned"
"27242","TIDWORTH SQ","PITFIELD RD","","","Scarborough","Collector","43.786919","-79.262832","2015-10-01 07:00","2015-11-01 19:00","Daily","The southbound and northbound lanes will be occupied alternately due to underground installation.","Planned"
"27243","LAWNMERE CRES","KEYWORTH TRL","","","Scarborough","Local","43.785186","-79.260038","2015-10-01 07:00","2015-11-01 19:00","Daily","The eastbound, westbound, southbound and northbound lanes will be occupied alternately due to underground installation.","Planned"
"27244","STONEWALL GT","","PITFIELD RD","LAWNMERE CRES","Scarborough","Collector","43.785436","-79.262416","2015-10-01 07:00","2015-11-01 19:00","Daily","The eastbound curb lane will be occupied alternately due to underground installation.","Planned"
"27245","PITFIELD RD","","BROWNSPRING RD","CLEETHORPES BLVD","Scarborough","Local","43.787397","-79.261891","2015-10-01 07:00","2015-11-01 19:00","Daily","The southbound, northbound, eastbound and westbound lanes will be occupied alternately due to underground installation.","Planned"
"27265","BAY ST","various locations","DUNDAS ST W","HAGERMAN ST","Toronto and East York","Major Arterial","43.65572","-79.38375","2015-09-21 07:00","2015-10-16 21:00","Daily","The following locations will be occupied due to Nuit Blanche installation and logistics:
Sept. 21  Oct. 16, 7a-9p: Chestnut St  curb lane bet. Armoury St & S/S of Doubletree Hotel
Sept. 21  Oct. 13, 9a-5p: sidewalk reduction north of N/E cor of Westin Harbour Castle
Sept. 29  Oct. 4: 7a-6p: Devonshire Pl
Sept. 30, 6a-12p: Queens Park Cres E
Sept. 30  Oct. 4, 4p-6p: Queens Park Cres
Oct. 1  5, 6p-6p: S curb lane Bay St
Oct. 2  4, 6p-10a: Bay St
Oct. 3  4, 4p-9a: College St, Queens Quay
Oct. 3  4, 5p-8a: Bloor St, Queens Park,
Oct. 3  4. 6p-8a: Bay St, Queen St W
Oct. 3  4, 7p-7a: Mutual St","Planned"
"27273","WELLINGTON ST E","","CHURCH ST","YORK ST","Toronto and East York","Minor Arterial","43.64663","-79.38297","2015-10-01 07:00","2015-10-10 19:00","Daily","The westbound curb lane will be occupied due to road work.","Planned"
"27279","KING ST E","","RIVER ST","YONGE ST","Toronto and East York","Major Arterial","43.65148","-79.36736","2015-10-01 07:00","2015-10-31 19:00","Daily","The eastbound and westbound curb lanes will be occupied due to construction of concrete sidewalks and road repairs by the City of Toronto.","Planned"
"27280","CHURCH ST","","QUEEN ST E","WELLINGTON ST E","Toronto and East York","Minor Arterial","43.65066","-79.37476","2015-10-01 07:00","2015-10-15 19:00","Daily","The northbound and southbound curb lanes will be occupied due to construction of concrete sidewalks and road repairs by the City of Toronto.","Planned"
"27281","KING ST W","","RONCESVALLES AVE","UNIVERSITY AVE","Toronto and East York","Major Arterial","43.644121","-79.401611","2015-10-01 07:00","2015-10-31 19:00","Daily","Westbound and eastbound curb lanes will be occupied due to construction of sidewalks and road cut repairs.","Planned"
"27289","THOMPSON AVE","100 THOMPSON AVE","","","North York","Local","43.642447","-79.512834","2015-10-01 07:00","2015-10-03 16:00","Daily","One lane will be blocked due to water work.","Planned"
"27293","MICHAEL POWER PL","RESURRECTION RD","","","Etobicoke York","Collector","43.644587","-79.530772","2015-10-02 07:00","2015-10-16 19:00","Daily","The northbound curb lane will be occupied due to 53m drill shot.","Planned"
"27295","FRONT ST E","JARVIS ST","","","Toronto and East York","Minor Arterial","43.649513","-79.371407","2015-10-01 09:00","2015-10-09 16:00","Daily","The westbound curb lane will be occupied due to placement of cables.","Planned"
"27300","AVENUE RD","","DELORAINE AVE","BROOKDALE AVE","North York","Major Arterial","43.726985","-79.417529","2015-10-01 08:30","2015-10-30 16:00","Daily","Southbound curb lane will be occupied due to installing new poles.","Planned"
"27310","DUNDAS ST E","","PEMBROKE ST","ONTARIO ST","Toronto and East York","Major Arterial","43.658173","-79.372395","2015-10-02 10:00","2015-10-03 20:00","Daily","The road will be closed due to filming.","Planned"
"27320","YONGE ST","5095 Yonge St","","","Toronto and East York","Major Arterial","43.768537","-79.412751","2015-10-02 09:00","2015-10-03 17:00","Daily","The northbound curb lane will be occupied due to removal and installation of Future Shop and Best Buy signage.","Planned"
"27332","VICTORIA ST","","QUEEN ST E","KING ST E","Toronto and East York","Collector","43.652669","-79.378093","2015-10-01 07:00","2015-10-10 19:00","Daily","The northbound curb lane will be occupied due to city contract.","Planned"
"27333","BROADVIEW AVE","","GERRARD ST E","QUEEN ST E","Toronto and East York","Minor Arterial","43.664911","-79.352383","2015-10-01 07:00","2015-10-06 19:00","Daily","The northbound curb lane will be occupied due to utility cut repairs.","Planned"
"27335","BUSHBY DR","MCCOWAN RD","","","Scarborough","Collector","43.774996","-79.25107","2015-10-02 09:00","2015-10-16 18:00","Continuous","Northbound ramp from Bushy Dr to McCowan Rd will be closed due to curb repairs and replacing catch basins.","Planned"
"27349","COLLEGE ST","ROBERT ST","","","Toronto and East York","Major Arterial","43.65767","-79.40182","2015-10-02 09:30","2015-10-16 15:30","Daily","The eastbound curb lane will be occupied due to placing cable by Distinct Technical Services.","Planned"
"27363","CHARLOTTE ST","","ADELAIDE ST W","KING ST W","Toronto and East York","Major Arterial","43.64581","-79.393595","2015-10-02 07:00","2015-10-16 17:00","Daily","The northbound curb lane and southbound curb lane will be occupied due to permanent repairs to utility cuts.","Planned"
"27367","HIGH PARK AVE","DUNDAS ST W","","","Toronto and East York","Collector","43.665459","-79.470312","2015-10-02 07:00","2015-10-07 16:30","Daily","Southbound curb lane will be occupied due to new hydro service.","Planned"
"27368","LAWRENCE AVE E","MEADOWVALE RD","","","Scarborough","Minor Arterial","43.775051","-79.156404","2015-10-02 09:00","2015-10-07 16:00","Daily","Eastbound curb and centre lanes will be occupied due to minor bridge repairs/bridge washing.","Planned"
"27369","ST CLAIR AVE W","1221 ST CLAIR AVE W","","","Toronto and East York","Major Arterial","43.677441","-79.444997","2015-10-02 07:00","2015-10-05 19:00","Daily","Eastbound curb lane and the westbound passing lane at 1221 St Clair Ave W will be occupied due to water service replacement.","Planned"
"27370","WESTON RD","349 WESTON RD","","","Etobicoke York","Major Arterial","43.679357","-79.4745","2015-10-02 07:00","2015-10-09 16:00","Daily","Northbound curb lane at 349 Weston Rd will be occupied due to road work.","Planned"
"27373","STRACHAN AVE","","EAST LIBERTY ST","FLEET ST","Toronto and East York","Minor Arterial","43.63924","-79.41086","2015-10-02 06:00","2015-10-31 18:00","Daily","The northbound and southbound lanes will have various lane restrictions due to deck replacement of F.G. Gardiner Expressway. One lane in each direction will always be opened.","Planned"
"27393","RIVERDALE AVE","CARLAW AVE","","","Toronto and East York","Minor Arterial","43.670729","-79.344022","2015-10-02 07:00","2015-10-09 19:00","Daily","One eastbound lane will be occupied due to emergency sewer repair.","Planned"
"27394","YORK ST","ADELAIDE ST W","","","Toronto and East York","Minor Arterial","43.649208","-79.384049","2015-10-02 07:00","2015-10-05 19:00","Daily","The northbound curb lane will be occupied due to the Scotiabank Nuit Blanche - Zone D Art Installation.","Planned"
"27413","QUEENS QUAY E","","LOWER JARVIS ST","COOPER ST","Toronto and East York","Minor Arterial","43.64394","-79.36894","2015-10-01 20:00","2015-10-05 17:00","Daily","The following locations will be occupied due to Nuit Blanche:
Oct 1-5; 12p-6p  Westin Harbour Castle (Bay St, Freeland St, Cooper St, Lower Jarvis St)
Oct 1-5; 8p-5p  Queens Quay E at Lower Jarvis St
Oct 2-4; 12p-5p  east section of Queens Quay E
Oct 2-4; 6p-7a  Cooper St
Oct 3-4; 7a-7p  Queens Quay E (Lower Jarvis St)
Oct 3; 12p-6p  Queens Quay E 
Oct 4; 12:01a-9a  Queens Quay E (Lower Jarvis St, S of Lake Shore Blvd E)
Oct 4; 9a-5p  Queens Quay E
Oct 5; 7a-5p  Queens Quay E (Cooper St)","Planned"
"27414","BATHURST ST","KING ST W","","","Toronto and East York","Major Arterial","43.643917","-79.40269","2015-10-02 19:00","2015-10-04 23:59","Daily","Northbound and Westbound curb lanes will be occupied due to construction of concrete sidewalks and road cut repairs.","Planned"
"27416","LUMSDEN AVE","240 - 242 Lumsden Ave","WOODBINE AVE","EASTDALE AVE","Toronto and East York","Minor Arterial","43.6941","-79.30979","2015-10-02 07:00","2015-10-05 17:00","Daily","The eastbound and westbound lanes will be occupied due to utility cut repairs by NuRoad Construction.","Planned"
